user_id,recharge_frequency,bill_payment_regularity,upi_transaction_count,wallet_usage_score,monthly_savings_pct,ecommerce_frequency,bank_balance_stability,monthly_income,credit_score,risk_profile,recommended_allocation
SU0090,17,50.63,105,53.67,21.59,24,82.77,100194,632,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0091,15,53.59,94,43.81,15.53,32,71.69,92814,607,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0092,23,69.92,160,65.6,32.52,45,57.93,97161,717,High,"{""Equity Mutual Fund"": 40, ""ETF"": 35, ""Blue-chip Equity"": 25}"
SU0093,24,78.97,146,70.86,26.6,55,82.93,75017,746,High,"{""Equity Mutual Fund"": 40, ""ETF"": 35, ""Blue-chip Equity"": 25}"
SU0094,11,37.16,86,38.74,16.08,29,38.38,60798,522,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0095,13,38.82,58,45.64,15.28,25,37.84,54939,513,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0096,6,35.79,40,5.83,10.29,5,12.01,5000,449,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0097,21,67.7,134,57.12,25.89,48,60.27,112773,714,High,"{""Equity Mutual Fund"": 40, ""ETF"": 35, ""Blue-chip Equity"": 25}"
SU0098,9,19.16,55,32.92,10.58,23,26.31,43135,439,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0099,14,39.32,69,45.85,18.78,21,52.82,30275,531,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0100,17,44.29,88,52.87,19.12,33,52.11,59993,593,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0101,10,55.63,29,32.05,18.6,24,40.48,44260,576,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0102,16,57.85,74,38.93,15.27,30,50.43,115547,558,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0103,24,88.14,170,75.04,23.86,46,83.55,111378,773,High,"{""Equity Mutual Fund"": 40, ""ETF"": 35, ""Blue-chip Equity"": 25}"
SU0104,1,10.21,37,13.08,6.49,1,19.2,49462,377,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0105,8,33.07,88,53.2,11.2,30,32.63,49467,513,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0106,14,24.06,94,36.76,7.47,26,39.57,8872,505,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0107,21,68.93,125,59.19,23.73,38,82.03,100693,731,High,"{""Equity Mutual Fund"": 40, ""ETF"": 35, ""Blue-chip Equity"": 25}"
SU0108,8,31.42,44,54.2,14.14,13,28.21,24180,495,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0109,16,55.24,65,41.39,11.11,25,42.89,52087,578,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0110,13,33.59,85,43.05,22.59,21,36.94,25804,564,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0111,17,50.78,100,58.39,17.11,33,49.59,74570,629,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0112,11,43.45,116,50.1,16.24,28,36.53,86321,603,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0113,13,40.31,54,36.61,6.48,14,33.89,70052,529,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0114,21,51.55,155,66.16,26.78,32,60.18,129964,743,High,"{""Equity Mutual Fund"": 40, ""ETF"": 35, ""Blue-chip Equity"": 25}"
SU0115,21,78.42,132,69.43,28.18,43,69.31,139524,754,High,"{""Equity Mutual Fund"": 40, ""ETF"": 35, ""Blue-chip Equity"": 25}"
SU0116,17,59.37,132,52.62,17.73,27,50.09,30819,615,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0117,25,68.25,174,78.49,40.0,46,80.13,76202,812,High,"{""Equity Mutual Fund"": 40, ""ETF"": 35, ""Blue-chip Equity"": 25}"
SU0118,7,14.21,51,57.21,10.98,18,42.07,6119,491,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0119,19,58.35,105,70.61,21.77,38,57.17,97942,699,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0120,9,51.49,55,41.68,17.69,31,12.91,36439,489,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0121,20,80.61,102,70.69,32.82,28,70.95,75101,726,High,"{""Equity Mutual Fund"": 40, ""ETF"": 35, ""Blue-chip Equity"": 25}"
SU0122,15,55.51,108,43.02,24.86,42,53.4,67031,609,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0123,18,81.82,114,58.07,20.03,36,50.28,94809,676,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0124,7,28.3,55,40.87,11.05,18,38.01,6276,474,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0125,20,77.57,137,80.65,19.86,34,51.25,61069,703,High,"{""Equity Mutual Fund"": 40, ""ETF"": 35, ""Blue-chip Equity"": 25}"
SU0126,27,72.83,118,66.22,35.07,52,89.89,104213,734,High,"{""Equity Mutual Fund"": 40, ""ETF"": 35, ""Blue-chip Equity"": 25}"
SU0127,6,8.4,45,13.27,0.0,7,12.86,54405,398,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0128,6,12.17,31,44.64,2.7,10,0.0,30540,395,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0129,21,49.11,139,68.21,28.11,32,71.85,74849,693,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0130,14,53.43,86,59.97,17.15,24,35.68,5000,623,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0131,16,40.63,110,49.49,17.16,32,40.37,90126,574,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0132,5,13.79,40,27.79,13.24,11,12.95,16356,425,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0133,15,37.62,62,46.44,22.14,35,47.89,40589,569,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0134,14,57.52,113,67.8,26.26,41,53.75,39076,649,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0135,24,88.9,137,82.18,23.88,40,48.98,60600,783,High,"{""Equity Mutual Fund"": 40, ""ETF"": 35, ""Blue-chip Equity"": 25}"
SU0136,30,100.0,142,69.03,40.0,58,98.85,87946,849,High,"{""Equity Mutual Fund"": 40, ""ETF"": 35, ""Blue-chip Equity"": 25}"
SU0137,6,3.79,41,20.57,3.34,11,17.47,27027,375,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0138,9,39.4,76,52.98,23.36,25,34.16,30961,589,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0139,18,44.01,83,52.51,29.49,33,40.81,80085,601,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0140,15,65.63,115,50.1,24.07,33,65.0,71025,611,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0141,17,62.92,105,68.89,28.03,23,44.47,138117,627,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0142,14,36.28,75,54.6,3.95,24,44.26,18201,497,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0143,12,39.3,66,35.51,13.72,16,31.57,59755,469,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0144,11,34.99,94,43.16,19.43,31,33.46,61551,535,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0145,5,39.57,44,14.66,11.57,21,10.18,11018,440,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0146,11,41.21,69,28.57,8.38,25,28.3,54558,527,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0147,14,57.39,89,51.84,18.63,29,50.79,90099,612,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0148,21,49.83,151,73.5,20.95,41,79.32,105533,710,High,"{""Equity Mutual Fund"": 40, ""ETF"": 35, ""Blue-chip Equity"": 25}"
SU0149,22,72.4,158,60.51,31.24,41,63.64,133442,709,High,"{""Equity Mutual Fund"": 40, ""ETF"": 35, ""Blue-chip Equity"": 25}"
SU0150,24,96.29,152,65.11,23.1,55,74.36,47375,787,High,"{""Equity Mutual Fund"": 40, ""ETF"": 35, ""Blue-chip Equity"": 25}"
SU0151,10,48.55,77,26.48,17.58,17,45.95,30552,571,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0152,11,27.68,96,51.18,22.55,15,26.2,102060,543,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0153,25,70.94,119,51.39,28.14,50,74.0,122893,731,High,"{""Equity Mutual Fund"": 40, ""ETF"": 35, ""Blue-chip Equity"": 25}"
SU0154,20,70.38,142,68.23,35.76,57,70.99,124006,711,High,"{""Equity Mutual Fund"": 40, ""ETF"": 35, ""Blue-chip Equity"": 25}"
SU0155,17,75.82,108,38.99,22.44,43,46.08,111719,669,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0156,7,30.85,43,35.29,11.02,21,31.54,5000,511,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0157,14,39.22,73,29.26,13.55,34,40.35,86011,543,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0158,15,47.49,61,47.82,20.74,28,32.54,93040,545,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0159,21,35.61,96,76.62,18.05,26,77.57,68134,632,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0160,21,63.0,135,87.61,22.62,45,84.9,150000,712,High,"{""Equity Mutual Fund"": 40, ""ETF"": 35, ""Blue-chip Equity"": 25}"
SU0161,16,48.37,90,30.2,18.14,31,24.82,72414,549,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0162,25,87.87,138,78.72,31.53,47,61.72,51952,778,High,"{""Equity Mutual Fund"": 40, ""ETF"": 35, ""Blue-chip Equity"": 25}"
SU0163,20,56.57,144,62.85,31.96,45,83.11,112011,726,High,"{""Equity Mutual Fund"": 40, ""ETF"": 35, ""Blue-chip Equity"": 25}"
SU0164,27,73.14,139,61.65,28.69,42,73.53,85693,768,High,"{""Equity Mutual Fund"": 40, ""ETF"": 35, ""Blue-chip Equity"": 25}"
SU0165,6,40.9,75,32.07,18.65,12,48.81,75132,528,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0166,20,48.06,116,73.29,25.64,47,69.97,99418,655,Medium,"{""Hybrid Fund"": 35, ""Index Fund"": 35, ""Gold ETF"": 30}"
SU0167,8,25.96,56,32.96,8.91,22,27.26,22139,452,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0168,10,33.34,65,27.7,12.71,19,20.42,85917,468,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0169,22,93.2,122,79.85,34.91,47,81.96,126059,770,High,"{""Equity Mutual Fund"": 40, ""ETF"": 35, ""Blue-chip Equity"": 25}"
SU0170,11,29.39,59,11.55,13.8,13,16.39,26422,506,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0171,5,26.84,36,23.71,11.89,19,44.22,39392,505,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0172,21,79.34,132,59.95,31.54,51,75.86,108912,758,High,"{""Equity Mutual Fund"": 40, ""ETF"": 35, ""Blue-chip Equity"": 25}"
SU0173,12,31.45,73,46.15,9.89,19,34.81,54280,512,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0174,8,30.67,68,32.99,4.86,21,42.53,40234,448,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
SU0175,12,33.57,52,38.19,14.0,25,65.02,56073,540,Low,"{""FD"": 40, ""Government Bonds"": 35, ""Debt Mutual Fund"": 25}"
